,name,address,city,phone,country,state,lat,lon
0,Duck Donuts Alpharetta,3005 Old Alabama Road,"Alpharetta, GA 30022",(470) 385-6303,US,GA,34.020315,-84.272569
1,Duck Donuts Marietta,1281 Johnson Ferry Road,"Marietta, GA 30068",(770) 693-1622,US,GA,33.980028,-84.424629
2,Duck Donuts Columbia,702 Cross Hill Road  #100B,"Columbia, SC 29205",(803) 888-7424,US,SC,33.993152,-80.975127
3,Duck Donuts Charleston,1812 Sam Rittenberg Boulevard  Suite 16B,"Charleston, SC 29407",(843) 724-9917,US,SC,32.802065,-80.020003
4,Duck Donuts Savannah,7127 Hodgson Memorial Drive,"Savannah, GA 31406",(912) 355-0013,US,GA,32.006857,-81.110891
5,Duck Donuts Hilton Head,890 William Hilton Parkway  Suite 70,"Hilton Head, SC 29928",(843) 842-3825,US,SC,32.169701,-80.739671
6,Duck Donuts Myrtle Beach,117 Maryport Drive  Unit #1,"Myrtle Beach, SC 29575",(843) 839-3825,US,SC,33.632273,-78.961482
7,Duck Donuts North Myrtle Beach,779 Main Street,"North Myrtle Beach, SC 29582",(843) 663-3825,US,SC,33.826429,-78.679422
8,Duck Donuts Tallahassee,1894 Thomasville Road,"Tallahassee, FL 32303",(850) 918-8808,US,FL,30.464604,-84.270764
9,Duck Donuts Jacksonville,13820 Old St Augustine Road  Unit 141,"Jacksonville, FL 32258",(904) 438-5665,US,FL,30.14046,-81.549565
10,Duck Donuts Daytona Beach,1405 Cornerstone Boulevard  Suite C,"Daytona Beach, FL 32117",(386) 256-7714,US,FL,29.218655,-81.097293
11,Duck Donuts Carrolwood,14926 North Dale Mabry Hwy,"Tampa, FL 33618",(813) 946-9674,US,FL,28.085505,-82.506193
12,"Duck Donuts Brandon, FL",821 E Bloomingdale Ave,"Brandon, FL 33511",(813) 315-9661,US,FL,27.893165,-82.272604
13,Duck Donuts Sarasota,1580 Lakefront Drive  Suite 102,"Sarasota, FL 34240",(941) 909-3592,US,FL,27.364023,-82.417191
14,Duck Donuts Fort Myers,6900 Daniels Parkway  Unit A-14,"Fort Meyers, FL 33912",(239) 225-2185,US,FL,26.544982,-81.842181
15,Duck Donuts Naples,4233 9th Street North,"Naples, FL 34103",(239) 238-1088,US,FL,26.197179,-81.800491
16,Duck Donuts Boca Raton,5030 Champion Boulevard,"Boca Raton, FL 33496",(561) 334-2115,US,FL,26.410368,-80.123914
17,Duck Donuts Miramar Park Place,11225 Miramar Parkway Unit#205,"Miramar, FL 33025",(754) 465-9258,US,FL,25.979692,-80.296268
18,Duck Donuts Knoxville,6104 Kingston Pike,"Knoxville, TN 37919",(865) 236-1393,US,TN,35.932572,-84.002904
19,Duck Donuts Asheville,182 Merrimon Avenue,"Asheville, NC 28801",(828) 575-2177,US,NC,35.605363,-82.55356
20,Duck Donuts Chattanooga,2115 Gunbarrel Road  #A-11,"Chattanooga, TN 37421",(423) 521-3825,US,TN,35.034353,-85.153909
21,Duck Donuts Bristol,424 Pinnacle PKWY Suite 258,"Bristol, TN 37620",(423) 805-9947,US,TN,36.592588,-82.259938
22,"Duck Donuts Greenville, SC",3935 Pelham Road  Suite J,"Greenville, SC 29605",(828) 548-1442,US,SC,34.860393,-82.263122
23,Duck Donuts Brentwood,101 Creekside Crossing  Suite 1000,"Brentwood, TN 37027",(615) 964-7873,US,TN,36.036967,-86.799248
24,Duck Donuts Huntersville,9931-C Rose Commons Drive,"Huntersville, NC 28078",(704) 727-5150,US,NC,35.409124,-80.861505
25,"Duck Donuts Fort Mill, SC",810 Brayden Parkway,"Fort Mill, SC 29708",(803) 228-4018,US,SC,35.040726,-80.981276
26,Duck Donuts Louisville-Middletown,12939 Shelbyville Road,"Louisville, KY 40243",(502) 237-7560,US,KY,38.244461,-85.514016
27,Duck Donuts Charlotte,1710 Kenilworth Avenue  #220,"Charlotte, NC 28203",(704) 910-5355,US,NC,35.202656,-80.844343
28,Duck Donuts Louisville,4600 Shelbyville Road  Suite 634,"Jefferson County, KY 40207",(502) 614-6657,US,KY,38.250291,-85.62893
29,Duck Donuts South Charlotte,"9825 Sandy Rock Place, Suite 5B","Charlotte, NC 28277",(704) 246-7276,US,NC,35.05305,-80.773563
30,Duck Donuts of Mt. Airy,1025 Rockford St.  Suite 400,"Mt Airy, NC 27030",(336) 648-8898,US,NC,36.485701,-80.611278
31,Duck Donuts Winston Salem,3481 Burke Mill Road,"Winston Salem, NC 27103",(336) 727-3419,US,NC,36.059691,-80.311319
32,Duck Donuts High Point,2766 Highway 68 N  #101,"Highpoint, NC 27265",(336) 697-6179,US,NC,36.042426,-79.961583
33,Duck Donuts Greensboro,409 Pisgah Church Road,"Greensboro, NC 27455",(336) 291-8200,US,NC,36.130399,-79.796343
34,Duck Donuts Mason,5635 Deerfield Boulevard,"Mason, OH 45040",(513) 492-7707,US,OH,39.307165,-84.316798
35,Duck Donuts Roanoke,3564 Electric Road  Unit 18,"Roanoke, VA 24018",(540) 206-2490,US,VA,37.226272,-79.997253
36,Duck Donuts Dayton,1200 Brown Street,"Dayton, OH 45409",(937) 951-2618,US,OH,39.741667,-84.181974
37,Duck Donuts Durham,5320 McFarland Road  Suite 140,"Durham, NC 27707",(919) 973-1305,US,NC,35.951615,-78.992935
38,Duck Donuts Lynchburg,3405 Candlers Mountain Road,"Lynchburg, VA 24502",(434) 810-6730,US,VA,37.365122,-79.178425
39,Duck Donuts Pickerington,10710 Blacklick-Eastern Rd  Suite 300,"Pickerington, OH 43147",(614) 604-9065,US,OH,39.929909,-82.78704
40,Duck Donuts Fayetteville,2132 Skibo Road,"Fayetteville, NC 28314",(910) 487-0386,US,NC,35.051244,-78.976108
41,Duck Donuts Cary,100 Wrenn Drive  Suite 101,"Cary, NC 27511",(919) 468-8722,US,NC,35.76525,-78.783994
42,Duck Donuts North Fayetteville,5155 Ramsey Street,"Fayetteville, NC 28311",(910) 482-0096,US,NC,35.130534,-78.879063
43,Duck Donuts Dublin,7717 Sawmill Road,"Dublin, OH 43016",(614) 726-9399,US,OH,40.123777,-83.090895
44,Duck Donuts Raleigh,8323 Creedmoor Road,"Raleigh, NC 27613",(919) 847-3800,US,NC,35.900604,-78.682598
45,Duck Donuts Westerville,825 Polaris Parkway,"Westerville, OH 43082",(614) 896-6450,US,OH,40.143983,-82.957801
46,Duck Donuts Charlottesville,2075 Bond Street,"Charlottesville, VA 22901",(434) 823-1960,US,VA,38.065398,-78.493048
47,"Duck Donuts Greenville, NC",420 Arlington Boulevard,"Greenville, NC 27858",(252) 689-6305,US,NC,35.584268,-77.369911
48,Duck Donuts Pittsburgh,100 Siena Drive,"Pittsburgh, PA 15241",(412) 833-3825,US,PA,40.347211,-80.057404
49,Duck Donuts Summit Mall,3265 W. Market Street  190B Summit Mall,"Fairlawn, OH 44333",(330) 278-0333,US,OH,41.134139,-81.617715
50,Duck Donuts Winchester,3103 Valley Ave Unit 104,"Winchester, VA 22601",(540) 773-5262,US,VA,39.142848,-78.190709
51,Duck Donuts Bristow,10286 Bristow Center Drive,"Bristow, VA 20136",(703) 789-8917,US,VA,38.73389,-77.550868
