,Unnamed: 0,name,address,city,country,contact,state,lat,lon,fips
0,0,"Duck Donuts Doha, Qatar","Al Khaleej Street 221, Zone 13, Mushayrib","Doha Ad Dawhah, QA 634",Qatar,P.O. Box 24337,QA,25.2889366,51.516172,
1,1,"Duck Donuts Cairo, Egypt",Festival City Mall,"Cairo, EG 818",Egypt,(???) ???-????,EG,30.0523777,31.3906626,
2,2,Duck Donuts Kingdom of Saudi Arabia,3414 Nortern Ring Br Rd,"Riyadh, SA 12394",Saudi Arabia,(???) ???-????,SA,24.74168115,46.6016602,.
3,3,"Duck Donuts Burlington, Ontario, Canada",5010 Pinedale Avenue Unit 1001 A,"Burlington, ON 124",Canada,(289) 724-0132,ON,43.369482,-79.755426,.
4,4,Duck Donuts Alpharetta,3005 Old Alabama Road,"Alpharetta, GA 30022",United States,(470) 385-6303,GA,34.020315,-84.272569,13121
5,5,Duck Donuts Marietta,1281 Johnson Ferry Road,"Marietta, GA 30068",United States,(770) 693-1622,GA,33.980028,-84.424629,.
6,6,Duck Donuts Columbia,702 Cross Hill Road  #100B,"Columbia, SC 29205",United States,(803) 888-7424,SC,33.993152,-80.975127,45079
7,7,Duck Donuts Charleston,1812 Sam Rittenberg Boulevard  Suite 16B,"Charleston, SC 29407",United States,(843) 724-9917,SC,32.802065,-80.020003,45019
8,8,Duck Donuts Savannah,7127 Hodgson Memorial Drive,"Savannah, GA 31406",United States,(912) 355-0013,GA,32.006857,-81.110891,.
9,9,Duck Donuts Hilton Head,890 William Hilton Parkway  Suite 70,"Hilton Head, SC 29928",United States,(843) 842-3825,SC,32.169701,-80.739671,45013
10,10,Duck Donuts Myrtle Beach,117 Maryport Drive  Unit #1,"Myrtle Beach, SC 29575",United States,(843) 839-3825,SC,33.632273,-78.961482,45051
11,11,Duck Donuts North Myrtle Beach,779 Main Street,"North Myrtle Beach, SC 29582",United States,(843) 663-3825,SC,33.826429,-78.679422,.
12,12,Duck Donuts Tallahassee,1894 Thomasville Road,"Tallahassee, FL 32303",United States,(850) 918-8808,FL,30.464604,-84.270764,.
13,13,Duck Donuts Jacksonville,13820 Old St Augustine Road  Unit 141,"Jacksonville, FL 32258",United States,(904) 438-5665,FL,30.14046,-81.549565,12031
14,14,Duck Donuts Daytona Beach,1405 Cornerstone Boulevard  Suite C,"Daytona Beach, FL 32117",United States,(386) 256-7714,FL,29.218655,-81.097293,12127
15,15,Duck Donuts Carrolwood,14926 North Dale Mabry Hwy,"Tampa, FL 33618",United States,(813) 946-9674,FL,28.085505,-82.506193,.
16,16,"Duck Donuts Brandon, FL",821 E Bloomingdale Ave,"Brandon, FL 33511",United States,(813) 315-9661,FL,27.893165,-82.272604,.
17,17,Duck Donuts Sarasota,1580 Lakefront Drive  Suite 102,"Sarasota, FL 34240",United States,(941) 909-3592,FL,27.364023,-82.417191,12115
18,18,Duck Donuts Fort Myers,6900 Daniels Parkway  Unit A-14,"Fort Meyers, FL 33912",United States,(239) 225-2185,FL,26.544982,-81.842181,12071
19,19,Duck Donuts Naples,4233 9th Street North,"Naples, FL 34103",United States,(239) 238-1088,FL,26.197179,-81.800491,.
20,20,Duck Donuts Boca Raton,5030 Champion Boulevard,"Boca Raton, FL 33496",United States,(561) 334-2115,FL,26.410368,-80.123914,.
21,21,Duck Donuts Miramar Park Place,11225 Miramar Parkway Unit#205,"Miramar, FL 33025",United States,(754) 465-9258,FL,25.979692,-80.296268,.
22,22,Duck Donuts Knoxville,6104 Kingston Pike,"Knoxville, TN 37919",United States,(865) 236-1393,TN,35.932572,-84.002904,.
23,23,Duck Donuts Asheville,182 Merrimon Avenue,"Asheville, NC 28801",United States,(828) 575-2177,NC,35.605363,-82.55356,37021
24,24,Duck Donuts Chattanooga,2115 Gunbarrel Road  #A-11,"Chattanooga, TN 37421",United States,(423) 521-3825,TN,35.034353,-85.153909,47065
25,25,Duck Donuts Bristol,424 Pinnacle PKWY Suite 258,"Bristol, TN 37620",United States,(423) 805-9947,TN,36.592588,-82.259938,.
26,26,"Duck Donuts Greenville, SC",3935 Pelham Road  Suite J,"Greenville, SC 29605",United States,(828) 548-1442,SC,34.860393,-82.263122,.
27,27,Duck Donuts Brentwood,101 Creekside Crossing  Suite 1000,"Brentwood, TN 37027",United States,(615) 964-7873,TN,36.036967,-86.799248,.
28,28,Duck Donuts Huntersville,9931-C Rose Commons Drive,"Huntersville, NC 28078",United States,(704) 727-5150,NC,35.409124,-80.861505,37119
29,29,"Duck Donuts Fort Mill, SC",810 Brayden Parkway,"Fort Mill, SC 29708",United States,(803) 228-4018,SC,35.040726,-80.981276,.
30,30,Duck Donuts Louisville-Middletown,12939 Shelbyville Road,"Louisville, KY 40243",United States,(502) 237-7560,KY,38.244461,-85.514016,21111
31,31,Duck Donuts Charlotte,1710 Kenilworth Avenue  #220,"Charlotte, NC 28203",United States,(704) 910-5355,NC,35.202656,-80.844343,37119
32,32,Duck Donuts Louisville,4600 Shelbyville Road  Suite 634,"Jefferson County, KY 40207",United States,(502) 614-6657,KY,38.250291,-85.62893,.
33,33,Duck Donuts South Charlotte,"9825 Sandy Rock Place, Suite 5B","Charlotte, NC 28277",United States,(704) 246-7276,NC,35.05305,-80.773563,.
34,34,Duck Donuts of Mt. Airy,1025 Rockford St.  Suite 400,"Mt Airy, NC 27030",United States,(336) 648-8898,NC,36.485701,-80.611278,37171
35,35,Duck Donuts Winston Salem,3481 Burke Mill Road,"Winston Salem, NC 27103",United States,(336) 727-3419,NC,36.059691,-80.311319,37067
36,36,Duck Donuts High Point,2766 Highway 68 N  #101,"Highpoint, NC 27265",United States,(336) 697-6179,NC,36.042426,-79.961583,.
37,37,Duck Donuts Greensboro,409 Pisgah Church Road,"Greensboro, NC 27455",United States,(336) 291-8200,NC,36.130399,-79.796343,.
38,38,Duck Donuts Mason,5635 Deerfield Boulevard,"Mason, OH 45040",United States,(513) 492-7707,OH,39.307165,-84.316798,39165
39,39,Duck Donuts Roanoke,3564 Electric Road  Unit 18,"Roanoke, VA 24018",United States,(540) 206-2490,VA,37.226272,-79.997253,51161
40,40,Duck Donuts Dayton,1200 Brown Street,"Dayton, OH 45409",United States,(937) 951-2618,OH,39.741667,-84.181974,.
41,41,Duck Donuts Durham,5320 McFarland Road  Suite 140,"Durham, NC 27707",United States,(919) 973-1305,NC,35.951615,-78.992935,.
42,42,Duck Donuts Lynchburg,3405 Candlers Mountain Road,"Lynchburg, VA 24502",United States,(434) 810-6730,VA,37.365122,-79.178425,.
43,43,Duck Donuts Pickerington,10710 Blacklick-Eastern Rd  Suite 300,"Pickerington, OH 43147",United States,(614) 604-9065,OH,39.929909,-82.78704,.
44,44,Duck Donuts Fayetteville,2132 Skibo Road,"Fayetteville, NC 28314",United States,(910) 487-0386,NC,35.051244,-78.976108,37051
45,45,Duck Donuts Cary,100 Wrenn Drive  Suite 101,"Cary, NC 27511",United States,(919) 468-8722,NC,35.76525,-78.783994,.
46,46,Duck Donuts North Fayetteville,5155 Ramsey Street,"Fayetteville, NC 28311",United States,(910) 482-0096,NC,35.130534,-78.879063,.
47,47,Duck Donuts Dublin,7717 Sawmill Road,"Dublin, OH 43016",United States,(614) 726-9399,OH,40.123777,-83.090895,39049
48,48,Duck Donuts Raleigh,8323 Creedmoor Road,"Raleigh, NC 27613",United States,(919) 847-3800,NC,35.900604,-78.682598,.
49,49,Duck Donuts Westerville,825 Polaris Parkway,"Westerville, OH 43082",United States,(614) 896-6450,OH,40.143983,-82.957801,.
50,50,Duck Donuts Charlottesville,2075 Bond Street,"Charlottesville, VA 22901",United States,(434) 823-1960,VA,38.065398,-78.493048,51003
